p_id,Block,Rotation,Emphasis,initerrors_mean,initerrorsdegrees_mean
0,0,Sudden,Speed,0.099624185593224,5.708045371919755
0,1,Sudden,Speed,1.4748584011137458,84.50316176323031
0,2,Sudden,Speed,1.602299197286686,91.80498152172676
0,3,Sudden,Speed,1.6425335326668484,94.11023913052395
0,4,Sudden,Speed,1.6112853627142345,92.31985087473167
0,5,Sudden,Speed,1.7189375016792896,98.48786409298515
0,6,Sudden,Speed,1.6015575602088403,91.76248884723577
0,7,Sudden,Speed,1.6391626454057098,93.9171015172463
0,8,Sudden,Speed,1.641934827792275,94.07593586803698
0,9,Sudden,Speed,1.6251951633521116,93.1168237451504
0,10,Sudden,Speed,1.5042921929003614,86.1895938076702
0,11,Sudden,Speed,-0.7895105791506323,-45.235624066260556
1,0,Sudden,Accuracy,0.19210392047387068,11.006743871069595
1,1,Sudden,Accuracy,1.3850182181853976,79.3556984507527
1,2,Sudden,Accuracy,0.8804038342294785,50.44342396848449
1,3,Sudden,Accuracy,0.7200000532863413,41.25296430250174
1,4,Sudden,Accuracy,0.6649129501083599,38.0967057848017
1,5,Sudden,Accuracy,0.41077489831043684,23.535668003103602
1,6,Sudden,Accuracy,0.31007663246781825,17.766082366035178
1,7,Sudden,Accuracy,0.281164832502551,16.109558249898882
1,8,Sudden,Accuracy,0.3481776569426708,19.94911026356888
1,9,Sudden,Accuracy,0.3133468356969571,17.953451209214887
1,10,Sudden,Accuracy,0.22667066624437368,12.987272515221106
1,11,Sudden,Accuracy,-0.8580241913438235,-49.16116488412647
2,0,Gradual,Speed,0.10796037478038645,6.185673829566755
2,1,Gradual,Speed,0.13691432223737632,7.8446128190958175
2,2,Gradual,Speed,0.15303089503587763,8.76802442066529
2,3,Gradual,Speed,0.2112766658619119,12.105261263483271
2,4,Gradual,Speed,0.17681805410957516,10.130928242194477
2,5,Gradual,Speed,0.26588861212630444,15.234295295428206
2,6,Gradual,Speed,0.28659832760638987,16.42087458735385
2,7,Gradual,Speed,0.30422309924033236,17.430699616860647
2,8,Gradual,Speed,0.35772668685642506,20.496229376071174
2,9,Gradual,Speed,0.4113214394337775,23.566982502801363
2,10,Gradual,Speed,0.4031111210238264,23.096565909452604
2,11,Gradual,Speed,-0.5218035518607368,-29.897141256555994
3,0,Gradual,Accuracy,0.14317771011177913,8.203478509752514
3,1,Gradual,Accuracy,0.09361794774036031,5.363913292198947
3,2,Gradual,Accuracy,0.15116197676187024,8.660943291309792
3,3,Gradual,Accuracy,0.12284364217518656,7.03842223665347
3,4,Gradual,Accuracy,0.16932530789539418,9.701625507159283
3,5,Gradual,Accuracy,0.1788240455464949,10.245863085269363
3,6,Gradual,Accuracy,0.1734045134753793,9.935346770658644
3,7,Gradual,Accuracy,0.3522292277322864,20.181248170212342
3,8,Gradual,Accuracy,0.29247270262592207,16.757451483250122
3,9,Gradual,Accuracy,0.2538839191781697,14.546477055149623
3,10,Gradual,Accuracy,0.20396962720211992,11.68659878753826
3,11,Gradual,Accuracy,-0.639975872940321,-36.66791650968102
4,0,Sudden,Speed,0.16582706202405598,9.50119078303254
4,1,Sudden,Speed,1.192061536616921,68.30009496802921
4,2,Sudden,Speed,1.278267634146182,73.23934052474903
4,3,Sudden,Speed,1.246720528190017,71.43182449760876
4,4,Sudden,Speed,1.0444917141187011,59.84496695538652
4,5,Sudden,Speed,1.0134197829298577,58.06467643694487
4,6,Sudden,Speed,1.1131510327623635,63.778856137912264
4,7,Sudden,Speed,1.181555760691305,67.69815834698126
4,8,Sudden,Speed,1.0167033509499799,58.25281102624201
4,9,Sudden,Speed,1.0237603252320977,58.657145868739725
4,10,Sudden,Speed,1.2051967191098076,69.05268548800575
4,11,Sudden,Speed,-0.404872109234005,-23.19746310166813
5,0,Sudden,Accuracy,0.0955908635743068,5.476953042818614
5,1,Sudden,Accuracy,0.6741204349536927,38.62425580636993
5,2,Sudden,Accuracy,0.3546518077953797,20.320051783360128
5,3,Sudden,Accuracy,0.183178389557603,10.495348619653923
5,4,Sudden,Accuracy,0.15189530285870656,8.702959781665314
5,5,Sudden,Accuracy,0.1702472623541099,9.75444960654696
5,6,Sudden,Accuracy,0.1913180331568845,10.961715844633428
5,7,Sudden,Accuracy,0.22944995518099243,13.146514041336763
5,8,Sudden,Accuracy,0.1485591353790626,8.511811465332917
5,9,Sudden,Accuracy,0.17931452798379147,10.273965658851745
5,10,Sudden,Accuracy,0.17719543028953005,10.152550304594664
5,11,Sudden,Accuracy,-0.1688273121416049,-9.673092452251721
6,0,Gradual,Speed,0.14695401040882713,8.419844578947364
6,1,Gradual,Speed,0.0824841666047602,4.725994623106689
6,2,Gradual,Speed,0.10001156605386159,5.730240637380122
6,3,Gradual,Speed,0.09023505412860992,5.170087765703883
6,4,Gradual,Speed,0.11117150509783968,6.36965804422333
6,5,Gradual,Speed,0.14656003294164557,8.397271332854608
6,6,Gradual,Speed,0.17402581265499872,9.970944591465779
6,7,Gradual,Speed,0.21141965499000523,12.113453937039274
6,8,Gradual,Speed,0.26969517005978294,15.452394999488565
6,9,Gradual,Speed,0.4057308754785932,23.246666783071337
6,10,Gradual,Speed,0.42480448322278885,24.339504006901787
6,11,Gradual,Speed,-0.36473285063895255,-20.897652991387414
7,0,Gradual,Accuracy,0.11004492912916129,6.305109995917196
7,1,Gradual,Accuracy,0.09515473151021563,5.451964516235861
7,2,Gradual,Accuracy,0.14370366496159742,8.23361350286154
7,3,Gradual,Accuracy,0.10930999512748865,6.263001379400693
7,4,Gradual,Accuracy,0.13238530800366996,7.585119418149767
7,5,Gradual,Accuracy,0.11169201237879564,6.399480914627937
7,6,Gradual,Accuracy,0.10762285073453674,6.166335126255387
7,7,Gradual,Accuracy,0.11395871376219852,6.5293533373133865
