target_x,target_y,aiming_trials.thisN,aim report,aim_swipe_mouse.x,aim_swipe_mouse.y,p_id
0.3,-0.3,0.0,67.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.26851851851851855, -0.2712962962962963, -0.2722222222222222, -0.2722222222222222, -0.2712962962962963, -0.26851851851851855, -0.26481481481481484, -0.2611111111111111, -0.2574074074074074, -0.25555555555555554, -0.2537037037037037, -0.2537037037037037, -0.25092592592592594, -0.2490740740740741, -0.24722222222222223, -0.24722222222222223, -0.24722222222222223, -0.24722222222222223, -0.24722222222222223, -0.24722222222222223, -0.24722222222222223, -0.24722222222222223, -0.24722222222222223, -0.24722222222222223, -0.24722222222222223, -0.24722222222222223, -0.24722222222222223, -0.24722222222222223, -0.24722222222222223, -0.24722222222222223, -0.2462962962962963]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.23055555555555557, 0.2351851851851852, 0.23703703703703705, 0.23703703703703705, 0.23425925925925925, 0.2324074074074074, 0.22962962962962963, 0.22592592592592592, 0.2222222222222222, 0.22037037037037038, 0.21944444444444444, 0.21851851851851853, 0.21944444444444444, 0.22037037037037038, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.22962962962962963]",641
-0.3,0.3,1.0,45.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.24074074074074073, -0.2324074074074074, -0.2212962962962963, -0.2101851851851852, -0.1935185185185185, -0.17962962962962964, -0.16666666666666666, -0.16111111111111112, -0.15925925925925927, -0.15925925925925927, -0.15925925925925927, -0.24351851851851852]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.012962962962962963, -0.018518518518518517, -0.024074074074074074, -0.02962962962962963, -0.03518518518518519, -0.03796296296296296, -0.03981481481481482, -0.03981481481481482, -0.03981481481481482, -0.03981481481481482, -0.03981481481481482, -0.06018518518518518]",641
0.3,-0.3,2.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.5222222222222223, -0.5259259259259259, -0.5333333333333333, -0.5361111111111111, -0.5361111111111111, -0.5361111111111111, -0.5361111111111111, -0.5361111111111111]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05648148148148148, -0.05462962962962963, -0.05092592592592592, -0.049074074074074076, -0.049074074074074076, -0.049074074074074076, -0.049074074074074076, -0.04814814814814815]",641
-0.3,0.3,3.0,44.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05648148148148148, -0.053703703703703705, -0.04537037037037037, -0.03425925925925926, -0.022222222222222223, -0.011111111111111112, -0.000925925925925926, 0.007407407407407408, 0.012037037037037037, 0.012037037037037037, 0.006481481481481481, -0.006481481481481481, -0.03148148148148148, -0.06388888888888888, -0.09814814814814815, -0.09814814814814815, -0.09814814814814815, -0.09814814814814815, -0.09814814814814815, -0.09814814814814815, -0.09814814814814815, -0.09814814814814815, -0.41574074074074074, -0.8574074074074074, -0.8861111111111111, -0.8861111111111111, -0.8861111111111111, -0.8861111111111111, -0.8861111111111111, -0.8861111111111111, -0.8861111111111111, -0.8861111111111111, -0.8861111111111111, -0.8861111111111111, -0.8861111111111111, -0.8861111111111111, -0.8861111111111111, -0.8861111111111111, -0.8861111111111111, -0.8861111111111111, -0.8861111111111111, -0.8861111111111111, -0.8861111111111111, 0.03981481481481482, 0.05740740740740741, 0.06388888888888888, 0.06388888888888888, 0.06388888888888888, 0.06388888888888888, 0.06388888888888888, 0.005555555555555556, -0.2740740740740741]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.14074074074074075, -0.14074074074074075, -0.1398148148148148, -0.1388888888888889, -0.13703703703703704, -0.13425925925925927, -0.13148148148148148, -0.12685185185185185, -0.12129629629629629, -0.11666666666666667, -0.11203703703703703, -0.10833333333333334, -0.10648148148148148, -0.10648148148148148, -0.10925925925925926, -0.10925925925925926, -0.10925925925925926, -0.10925925925925926, -0.10925925925925926, -0.10925925925925926, -0.10925925925925926, -0.10925925925925926, -0.12685185185185185, -0.0962962962962963, -0.09166666666666666, -0.09166666666666666, -0.09166666666666666, -0.09166666666666666, -0.09166666666666666, -0.09166666666666666, -0.09166666666666666, -0.09166666666666666, -0.09166666666666666, -0.09166666666666666, -0.09166666666666666, -0.09166666666666666, -0.09166666666666666, -0.09166666666666666, -0.09166666666666666, -0.09166666666666666, -0.09166666666666666, -0.09166666666666666, -0.09166666666666666, -0.017592592592592594, -0.019444444444444445, -0.020370370370370372, -0.020370370370370372, -0.020370370370370372, -0.020370370370370372, -0.020370370370370372, -0.012962962962962963, 0.019444444444444445]",641
-0.3,0.3,4.0,43.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03888888888888889, -0.03888888888888889, -0.04351851851851852, -0.046296296296296294, -0.046296296296296294, -0.046296296296296294, -0.09722222222222222, -0.23148148148148148]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.10277777777777777, -0.1037037037037037, -0.1037037037037037, -0.1037037037037037, -0.1037037037037037, -0.1037037037037037, -0.10555555555555556, -0.09074074074074075]",641
-0.3,-0.3,5.0,68.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.4046296296296296, -0.4, -0.3972222222222222, -0.38981481481481484, -0.38425925925925924, -0.3787037037037037, -0.37037037037037035, -0.3611111111111111, -0.3509259259259259, -0.3398148148148148, -0.3296296296296296, -0.3194444444444444, -0.30925925925925923, -0.29814814814814816, -0.2898148148148148, -0.2824074074074074, -0.275, -0.26851851851851855, -0.2638888888888889, -0.2601851851851852, -0.25555555555555554, -0.25092592592592594, -0.2490740740740741, -0.2462962962962963, -0.24444444444444444, -0.24351851851851852, -0.24351851851851852, -0.24444444444444444, -0.24537037037037038, -0.24537037037037038, -0.24537037037037038, -0.24537037037037038, -0.24537037037037038, -0.24537037037037038]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1037037037037037, 0.10462962962962963, 0.10555555555555556, 0.10555555555555556, 0.10925925925925926, 0.11481481481481481, 0.1175925925925926, 0.1175925925925926, 0.11666666666666667, 0.11574074074074074, 0.11481481481481481, 0.11388888888888889, 0.11296296296296296, 0.11388888888888889, 0.11666666666666667, 0.12037037037037036, 0.12222222222222222, 0.125, 0.12777777777777777, 0.13333333333333333, 0.13796296296296295, 0.14537037037037037, 0.15, 0.15555555555555556, 0.15925925925925927, 0.16574074074074074, 0.17037037037037037, 0.17407407407407408, 0.17685185185185184, 0.17685185185185184, 0.17685185185185184, 0.17685185185185184, 0.17685185185185184, 0.16111111111111112]",641
0.3,0.3,6.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.6472222222222223, -0.6537037037037037, -0.6620370370370371, -0.6712962962962963, -0.6787037037037037, -0.687037037037037, -0.6907407407407408, -0.6925925925925925, -0.6925925925925925, -0.6842592592592592, -0.674074074074074, -0.6583333333333333, -0.6416666666666667, -0.6212962962962963, -0.6, -0.5777777777777777, -0.562962962962963, -0.5546296296296296, -0.5518518518518518, -0.5518518518518518, -0.5537037037037037, -0.5564814814814815, -0.5574074074074075, -0.5574074074074075, -0.5574074074074075, -0.5462962962962963]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.026851851851851852, -0.026851851851851852, -0.027777777777777776, -0.028703703703703703, -0.028703703703703703, -0.027777777777777776, -0.026851851851851852, -0.025925925925925925, -0.025925925925925925, -0.025925925925925925, -0.025925925925925925, -0.028703703703703703, -0.03148148148148148, -0.03425925925925926, -0.03611111111111111, -0.037037037037037035, -0.03611111111111111, -0.03148148148148148, -0.025925925925925925, -0.022222222222222223, -0.017592592592592594, -0.011111111111111112, -0.007407407407407408, -0.007407407407407408, -0.007407407407407408, -0.003703703703703704]",641
0.3,0.3,7.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.6731481481481482, -0.674074074074074, -0.674074074074074, -0.674074074074074, -0.674074074074074, -0.6796296296296296, -0.6814814814814815, -0.6833333333333333, -0.6842592592592592, -0.6851851851851852, -0.6851851851851852, -0.6851851851851852, -0.6842592592592592, -0.6833333333333333, -0.6824074074074075, -0.6824074074074075, -0.6824074074074075, -0.6824074074074075, -0.6824074074074075, -0.6824074074074075, -0.6824074074074075, -0.6824074074074075, -0.6824074074074075, -0.6824074074074075, -0.6824074074074075, -0.7138888888888889, -0.7157407407407408, -0.7166666666666667, -0.7212962962962963, -0.7268518518518519, -0.7296296296296296, -0.7305555555555555, -0.7305555555555555, -0.7305555555555555, -0.7305555555555555, -0.7305555555555555, -0.7157407407407408]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05648148148148148, -0.05555555555555555, -0.05555555555555555, -0.05555555555555555, -0.05555555555555555, -0.05462962962962963, -0.05462962962962963, -0.05555555555555555, -0.05555555555555555, -0.05648148148148148, -0.05648148148148148, -0.05648148148148148, -0.05, -0.049074074074074076, -0.046296296296296294, -0.046296296296296294, -0.046296296296296294, -0.046296296296296294, -0.046296296296296294, -0.046296296296296294, -0.046296296296296294, -0.046296296296296294, -0.046296296296296294, -0.046296296296296294, -0.046296296296296294, -0.03981481481481482, -0.03888888888888889, -0.03888888888888889, -0.03611111111111111, -0.032407407407407406, -0.028703703703703703, -0.025925925925925925, -0.025, -0.025, -0.025, -0.025, -0.025]",641
0.3,0.3,8.0,1.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.6814814814814815, -0.6824074074074075, -0.6824074074074075, -0.6824074074074075, -0.6824074074074075, -0.6824074074074075, -0.6805555555555556, -0.6777777777777778, -0.6694444444444444, -0.6592592592592592, -0.6592592592592592, -0.6592592592592592, -0.5768518518518518]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.04814814814814815, -0.04814814814814815, -0.04814814814814815, -0.04814814814814815, -0.04814814814814815, -0.04351851851851852, -0.041666666666666664, -0.03888888888888889, -0.03611111111111111, -0.03518518518518519, -0.03518518518518519, -0.03518518518518519, -0.027777777777777776]",641
-0.3,-0.3,9.0,66.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.23333333333333334, -0.2222222222222222, -0.20833333333333334, -0.1935185185185185, -0.1787037037037037, -0.1638888888888889, -0.15092592592592594, -0.14444444444444443, -0.14074074074074075, -0.13796296296296295, -0.1361111111111111, -0.13518518518518519, -0.13425925925925927, -0.13333333333333333, -0.13148148148148148, -0.13055555555555556, -0.13055555555555556, -0.13055555555555556, -0.13055555555555556, -0.13055555555555556, -0.13055555555555556, -0.13240740740740742, -0.13148148148148148, -0.1287037037037037, -0.1259259259259259, -0.12222222222222222, -0.11851851851851852, -0.11388888888888889, -0.11018518518518519, -0.10925925925925926, -0.10833333333333334, -0.10925925925925926, -0.11203703703703703, -0.11296296296296296, -0.11296296296296296, -0.11296296296296296, -0.11296296296296296, -0.11666666666666667, -0.14629629629629629, -0.1638888888888889, -0.1824074074074074]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05555555555555555, 0.053703703703703705, 0.053703703703703705, 0.05648148148148148, 0.06111111111111111, 0.06666666666666667, 0.075, 0.08518518518518518, 0.0962962962962963, 0.10648148148148148, 0.11666666666666667, 0.1259259259259259, 0.13333333333333333, 0.1398148148148148, 0.14537037037037037, 0.15, 0.15462962962962962, 0.1574074074074074, 0.1574074074074074, 0.1574074074074074, 0.1574074074074074, 0.15462962962962962, 0.15092592592592594, 0.14722222222222223, 0.14629629629629629, 0.14537037037037037, 0.14537037037037037, 0.14444444444444443, 0.14537037037037037, 0.14722222222222223, 0.15, 0.1527777777777778, 0.1537037037037037, 0.15462962962962962, 0.15462962962962962, 0.15462962962962962, 0.15462962962962962, 0.14722222222222223, 0.037037037037037035, -0.03611111111111111, -0.125]",641
