,Rotation,Emphasis,Set,Dual_Selected
15,Sudden,Speed,Test,23
16,Sudden,Speed,Test,46
17,Sudden,Speed,Test,97
18,Sudden,Speed,Test,3
19,Sudden,Speed,Test,10
20,Sudden,Speed,Test,90
21,Sudden,Speed,Test,50
22,Sudden,Speed,Test,81
23,Sudden,Speed,Test,50
24,Sudden,Speed,Test,86
25,Sudden,Speed,Test,11
26,Sudden,Speed,Test,5
27,Sudden,Speed,Test,59
28,Sudden,Speed,Test,92
29,Sudden,Speed,Test,37
45,Sudden,Accuracy,Test,59
46,Sudden,Accuracy,Test,72
47,Sudden,Accuracy,Test,95
48,Sudden,Accuracy,Test,55
49,Sudden,Accuracy,Test,93
50,Sudden,Accuracy,Test,94
51,Sudden,Accuracy,Test,97
52,Sudden,Accuracy,Test,64
53,Sudden,Accuracy,Test,52
54,Sudden,Accuracy,Test,81
55,Sudden,Accuracy,Test,99
56,Sudden,Accuracy,Test,11
57,Sudden,Accuracy,Test,88
58,Sudden,Accuracy,Test,70
59,Sudden,Accuracy,Test,88
75,Gradual,Speed,Test,12
76,Gradual,Speed,Test,97
77,Gradual,Speed,Test,29
78,Gradual,Speed,Test,14
79,Gradual,Speed,Test,21
80,Gradual,Speed,Test,40
81,Gradual,Speed,Test,78
82,Gradual,Speed,Test,7
83,Gradual,Speed,Test,4
84,Gradual,Speed,Test,33
85,Gradual,Speed,Test,11
86,Gradual,Speed,Test,12
87,Gradual,Speed,Test,43
88,Gradual,Speed,Test,75
89,Gradual,Speed,Test,19
105,Gradual,Accuracy,Test,89
106,Gradual,Accuracy,Test,59
107,Gradual,Accuracy,Test,85
108,Gradual,Accuracy,Test,93
109,Gradual,Accuracy,Test,65
110,Gradual,Accuracy,Test,81
111,Gradual,Accuracy,Test,17
112,Gradual,Accuracy,Test,98
113,Gradual,Accuracy,Test,97
114,Gradual,Accuracy,Test,89
115,Gradual,Accuracy,Test,97
116,Gradual,Accuracy,Test,86
117,Gradual,Accuracy,Test,86
118,Gradual,Accuracy,Test,82
119,Gradual,Accuracy,Test,96
