,Trial,Block,Rotation,Emphasis,Condition,Participant_Id,average,std
0,0,0,Gradual,Accuracy,Gradual_Accuracy,31,0.05411008780610461,0.020584620633732585
1,0,0,Gradual,Speed,Gradual_Speed,30,0.1360002123757977,0.2463980178920281
2,0,0,Sudden,Accuracy,Sudden_Accuracy,29,0.06854590357598836,0.04327417067445493
3,0,0,Sudden,Speed,Sudden_Speed,28,0.07491489384504527,0.05275788819523375
4,1,0,Gradual,Accuracy,Gradual_Accuracy,31,0.05625744173902741,0.019873869082003493
5,1,0,Gradual,Speed,Gradual_Speed,30,0.14990391507776685,0.25757469662957033
6,1,0,Sudden,Accuracy,Sudden_Accuracy,29,0.07514477691506487,0.050224411512372974
7,1,0,Sudden,Speed,Sudden_Speed,28,0.08226278493788852,0.05790866095507231
8,2,0,Gradual,Accuracy,Gradual_Accuracy,31,0.05925520051422121,0.020842700469052462
9,2,0,Gradual,Speed,Gradual_Speed,30,0.16785906258981897,0.27383308257150807
10,2,0,Sudden,Accuracy,Sudden_Accuracy,29,0.0834871415110849,0.059032257547680836
11,2,0,Sudden,Speed,Sudden_Speed,28,0.0938937716474056,0.0734588903705322
12,3,0,Gradual,Accuracy,Gradual_Accuracy,31,0.061031995847169486,0.022708951527256407
13,3,0,Gradual,Speed,Gradual_Speed,30,0.17846736707176963,0.28744200742576814
14,3,0,Sudden,Accuracy,Sudden_Accuracy,29,0.08693739938437312,0.061458263175165465
15,3,0,Sudden,Speed,Sudden_Speed,28,0.10463646952932983,0.09340169268269799
16,4,0,Gradual,Accuracy,Gradual_Accuracy,31,0.06032287029895444,0.02390101009904019
17,4,0,Gradual,Speed,Gradual_Speed,30,0.17823030813287388,0.29739766135577217
18,4,0,Sudden,Accuracy,Sudden_Accuracy,29,0.08198368283717088,0.053709700260378246
19,4,0,Sudden,Speed,Sudden_Speed,28,0.11010856478820859,0.11372048231508504
20,5,0,Gradual,Accuracy,Gradual_Accuracy,31,0.05826202420461466,0.02669496996740052
21,5,0,Gradual,Speed,Gradual_Speed,30,0.17340491484235407,0.30844008289941505
22,5,0,Sudden,Accuracy,Sudden_Accuracy,29,0.07100649471728798,0.03950028684624915
23,5,0,Sudden,Speed,Sudden_Speed,28,0.1095857447276059,0.13205711565652486
24,6,0,Gradual,Accuracy,Gradual_Accuracy,31,0.057836567075482195,0.035706735429644795
25,6,0,Gradual,Speed,Gradual_Speed,30,0.17283563377131758,0.3214900413478935
26,6,0,Sudden,Accuracy,Sudden_Accuracy,29,0.05988755592617324,0.025716322516117978
27,6,0,Sudden,Speed,Sudden_Speed,28,0.10561302044458211,0.14182740795508877
28,7,0,Gradual,Accuracy,Gradual_Accuracy,31,0.061064143785975404,0.052703143515834404
29,7,0,Gradual,Speed,Gradual_Speed,30,0.1795692677322349,0.331718843349329
30,7,0,Sudden,Accuracy,Sudden_Accuracy,29,0.05307727548063815,0.01735799973515167
31,7,0,Sudden,Speed,Sudden_Speed,28,0.10080047608911934,0.13824717498394834
32,8,0,Gradual,Accuracy,Gradual_Accuracy,31,0.0666512085192891,0.07182424243991598
33,8,0,Gradual,Speed,Gradual_Speed,30,0.18903887183686582,0.3334568817380353
34,8,0,Sudden,Accuracy,Sudden_Accuracy,29,0.05120416762909446,0.015300078166279797
35,8,0,Sudden,Speed,Sudden_Speed,28,0.09565785329114157,0.12147057460502331
36,9,0,Gradual,Accuracy,Gradual_Accuracy,31,0.0709731944575776,0.08279417548368903
37,9,0,Gradual,Speed,Gradual_Speed,30,0.1937130968871448,0.32196799633402284
38,9,0,Sudden,Accuracy,Sudden_Accuracy,29,0.0524108588724387,0.01580817733641157
39,9,0,Sudden,Speed,Sudden_Speed,28,0.08949019412762325,0.09632290177842107
40,10,0,Gradual,Accuracy,Gradual_Accuracy,31,0.07176010347336358,0.08136402529992826
41,10,0,Gradual,Speed,Gradual_Speed,30,0.18904222636973997,0.2976341405246836
42,10,0,Sudden,Accuracy,Sudden_Accuracy,29,0.05484922417896403,0.01653428557786506
43,10,0,Sudden,Speed,Sudden_Speed,28,0.0822649336475187,0.07244950796242408
44,11,0,Gradual,Accuracy,Gradual_Accuracy,31,0.07029441923584576,0.07420855225059272
45,11,0,Gradual,Speed,Gradual_Speed,30,0.17595031381990445,0.270998521632891
46,11,0,Sudden,Accuracy,Sudden_Accuracy,29,0.05777746905904732,0.020658445005562555
47,11,0,Sudden,Speed,Sudden_Speed,28,0.07472613197656287,0.057877156430147084
48,12,0,Gradual,Accuracy,Gradual_Accuracy,31,0.06939753938680186,0.07096793690153641
49,12,0,Gradual,Speed,Gradual_Speed,30,0.15889836932931628,0.2532117486610674
50,12,0,Sudden,Accuracy,Sudden_Accuracy,29,0.06077120474293607,0.032448585145910674
51,12,0,Sudden,Speed,Sudden_Speed,28,0.06734034749823296,0.051918047861379144
52,13,0,Gradual,Accuracy,Gradual_Accuracy,31,0.07000133531916639,0.07363992699251094
53,13,0,Gradual,Speed,Gradual_Speed,30,0.14238479717687605,0.2446283111623613
54,13,0,Sudden,Accuracy,Sudden_Accuracy,29,0.06251728063137295,0.046447731059696934
55,13,0,Sudden,Speed,Sudden_Speed,28,0.06021258578686993,0.049582001262111104
56,14,0,Gradual,Accuracy,Gradual_Accuracy,31,0.0706906364407224,0.07631621951040912
57,14,0,Gradual,Speed,Gradual_Speed,30,0.12897845000983574,0.24059297594493861
58,14,0,Sudden,Accuracy,Sudden_Accuracy,29,0.06115162895660887,0.052879699980759774
59,14,0,Sudden,Speed,Sudden_Speed,28,0.05391561479061946,0.046407089739797784
60,15,0,Gradual,Accuracy,Gradual_Accuracy,31,0.07024870339364217,0.07320657216760416
61,15,0,Gradual,Speed,Gradual_Speed,30,0.11961137108229866,0.23498047820937185
62,15,0,Sudden,Accuracy,Sudden_Accuracy,29,0.056270969691788304,0.04731832570245774
63,15,0,Sudden,Speed,Sudden_Speed,28,0.04961184303046628,0.041245263632554936
64,16,0,Gradual,Accuracy,Gradual_Accuracy,31,0.06973878261306542,0.06593285268843423
65,16,0,Gradual,Speed,Gradual_Speed,30,0.1147295687050181,0.22352730614201646
66,16,0,Sudden,Accuracy,Sudden_Accuracy,29,0.05003585862665284,0.034783726351805835
67,16,0,Sudden,Speed,Sudden_Speed,28,0.048109821027099264,0.037066666381690254
68,17,0,Gradual,Accuracy,Gradual_Accuracy,31,0.07194069873941496,0.06614288561063927
69,17,0,Gradual,Speed,Gradual_Speed,30,0.11454026802446296,0.2108682469902426
70,17,0,Sudden,Accuracy,Sudden_Accuracy,29,0.04554228282795119,0.026068891322446035
71,17,0,Sudden,Speed,Sudden_Speed,28,0.04922619865060171,0.03732799942299335
72,18,0,Gradual,Accuracy,Gradual_Accuracy,31,0.07871091478752741,0.08110327393109333
73,18,0,Gradual,Speed,Gradual_Speed,30,0.1184438578756447,0.20687127782713366
74,18,0,Sudden,Accuracy,Sudden_Accuracy,29,0.044264665867236014,0.026307768571129073
75,18,0,Sudden,Speed,Sudden_Speed,28,0.052308571078563494,0.042234046472364194
76,19,0,Gradual,Accuracy,Gradual_Accuracy,31,0.08845640668913476,0.09937654461947737
77,19,0,Gradual,Speed,Gradual_Speed,30,0.12514220754459418,0.21605092543677856
78,19,0,Sudden,Accuracy,Sudden_Accuracy,29,0.045510451657876386,0.028225413868127942
79,19,0,Sudden,Speed,Sudden_Speed,28,0.05714103226503757,0.04853764908498327
80,20,0,Gradual,Accuracy,Gradual_Accuracy,31,0.0961578381069648,0.10890720873743287
81,20,0,Gradual,Speed,Gradual_Speed,30,0.13352211102142736,0.2373149447073681
82,20,0,Sudden,Accuracy,Sudden_Accuracy,29,0.04791020662544027,0.027083682588353537
83,20,0,Sudden,Speed,Sudden_Speed,28,0.0643700546106446,0.05245122018821568
84,21,0,Gradual,Accuracy,Gradual_Accuracy,31,0.09653955958527839,0.10564314854852064
85,21,0,Gradual,Speed,Gradual_Speed,30,0.14276786345365491,0.2662717983795678
86,21,0,Sudden,Accuracy,Sudden_Accuracy,29,0.050494550117450084,0.02478104811691553
87,21,0,Sudden,Speed,Sudden_Speed,28,0.07500718761615525,0.05740129957801107
88,22,0,Gradual,Accuracy,Gradual_Accuracy,31,0.0879448498243743,0.09024661169567454
89,22,0,Gradual,Speed,Gradual_Speed,30,0.15194855026086734,0.29243383279263874
90,22,0,Sudden,Accuracy,Sudden_Accuracy,29,0.052310405291413585,0.023916731498303756
91,22,0,Sudden,Speed,Sudden_Speed,28,0.08890644017238555,0.07424307507847912
92,23,0,Gradual,Accuracy,Gradual_Accuracy,31,0.07355854132918258,0.0671436540464983
93,23,0,Gradual,Speed,Gradual_Speed,30,0.1602674370938515,0.30661975796494456
94,23,0,Sudden,Accuracy,Sudden_Accuracy,29,0.05220234782467006,0.02360950481387271
