,participant_id,condition,Trial,ITs,block,MTs
0,0,Sudden,0,7.365061901509762e-05,0,0.18082041351590306
1,1,Gradual,0,7.546111010015011e-05,0,0.27449910319410264
2,2,Sudden,0,0.0001340191811323166,0,0.12420682655647397
3,3,Gradual,0,0.8834176864475012,0,0.13320933189243078
4,4,Sudden,0,0.9206511199008673,0,1.5108095861505717
5,5,Gradual,0,2.501715727732517,0,0.3502112964633852
6,6,Sudden,0,0.23339927615597844,0,0.9166086623445153
7,7,Gradual,0,1.799939208664,0,0.7832731353119016
8,8,Sudden,0,2.4016927869524807,0,0.16006344929337502
9,9,Gradual,0,0.6204625582322478,0,0.16009242716245353
10,10,Sudden,0,2.699910774361342,0,0.23329483810812235
11,11,Gradual,0,2.0499399630352855,0,0.7832755502313375
12,12,Sudden,0,2.3616300621069968,0,0.3102007918059826
13,13,Gradual,0,0.7166771960564802,0,0.2666452154862782
14,0,Sudden,1,0.0,0,0.0
15,1,Gradual,1,0.0,0,0.0
16,2,Sudden,1,0.0,0,0.0
17,3,Gradual,1,0.6666539888828993,0,0.16668311785906553
18,4,Sudden,1,0.5904415987897664,0,0.21008717641234398
19,5,Gradual,1,1.5510356547310948,0,0.9106448167003691
20,6,Sudden,1,1.2000245698727667,0,0.549904647283256
21,7,Gradual,1,1.3333036517724395,0,0.6835196823813021
22,8,Sudden,1,1.4810119895264506,0,0.17014108574949205
23,9,Gradual,1,0.6204450507648289,0,0.23016921849921346
24,10,Sudden,1,1.36666266201064,0,1.8332284926436841
25,11,Gradual,1,1.4833236639387906,0,0.8170354110188782
26,12,Sudden,1,1.150851524900645,0,0.4402710027061403
27,13,Gradual,1,1.3332767875390346,0,0.2499670233373763
28,0,Sudden,2,0.0,0,0.0
29,1,Gradual,2,0.0,0,0.0
30,2,Sudden,2,0.0,0,0.0
31,3,Gradual,2,1.1167317312210798,0,0.16667496738955379
32,4,Sudden,2,0.6604296064469963,0,0.230207679560408
33,5,Gradual,2,1.5211836830712855,0,0.520214134012349
34,6,Sudden,2,0.8333344403654337,0,0.6832769988104701
35,7,Gradual,2,1.0999925141222775,0,0.7166287652216852
36,8,Sudden,2,0.7705676027107984,0,0.16030825139023364
37,9,Gradual,2,0.5604778924025595,0,1.2708486272022128
38,10,Sudden,2,1.2166245388798416,0,0.14997473591938615
39,11,Gradual,2,1.1833268031477928,0,1.150014579296112
40,12,Sudden,2,1.7412484004162252,0,0.31022524181753397
41,13,Gradual,2,2.0167699532958068,0,0.28310638044786174
42,0,Sudden,3,0.0,0,0.0
43,1,Gradual,3,0.0,0,0.0
44,2,Sudden,3,0.0,0,0.0
45,3,Gradual,3,1.0166707867756486,0,0.16661610640585423
46,4,Sudden,3,0.7905026322696358,0,1.480818391079083
47,5,Gradual,3,1.3809694284573197,0,0.4903147714212537
48,6,Sudden,3,1.333281013648957,0,0.4499625409953296
49,7,Gradual,3,1.1166311195120215,0,0.5333079984411597
50,8,Sudden,3,0.05010413913987577,0,0.26015732530504465
51,9,Gradual,3,1.0507247471250594,0,0.13012062013149261
52,10,Sudden,3,1.4999936609528959,0,0.16666586184874177
53,11,Gradual,3,1.4499673708342016,0,5.183012280613184
54,12,Sudden,3,1.6412520222365856,0,0.34014301747083664
55,13,Gradual,3,3.0331511290996787,0,0.433315755842159
56,0,Sudden,4,0.0,0,0.0
57,1,Gradual,4,0.0,0,0.0
58,2,Sudden,4,0.0,0,0.0
59,3,Gradual,4,0.5000083013437688,0,0.16665142262354493
60,4,Sudden,4,0.5803928172681481,0,2.0411918240133673
61,5,Gradual,4,1.310918596573174,0,0.36022343090735376
62,6,Sudden,4,0.9166325079277158,0,0.6333174160681665
63,7,Gradual,4,1.2666556593030691,0,0.5999656501226127
64,8,Sudden,4,0.9006689044181257,0,0.17010546708479524
65,9,Gradual,4,0.6405097679235041,0,0.2701836470514536
66,10,Sudden,4,1.549940868280828,0,0.3166728946380317
67,11,Gradual,4,1.133289646357298,0,1.7165771494619548
68,12,Sudden,4,1.2610945766791701,0,0.410170606803149
69,13,Gradual,4,0.7000611841594946,0,0.2832778289075577
70,0,Sudden,5,0.0,0,0.0
71,1,Gradual,5,0.0,0,0.0
72,2,Sudden,5,0.0,0,0.0
73,3,Gradual,5,0.6333848601207137,0,0.16669156961143017
74,4,Sudden,5,0.6104024250525981,0,0.17015284625813365
75,5,Gradual,5,1.310954516986385,0,0.22012176713906229
76,6,Sudden,5,0.8499784786254168,0,0.4999725320376456
77,7,Gradual,5,1.049962601158768,0,0.5333221852779388
78,8,Sudden,5,0.8205724323634058,0,0.27054828428663313
79,9,Gradual,5,0.7005043949466199,0,0.16013317718170583
80,10,Sudden,5,1.4500150624662638,0,0.4333248413167894
81,11,Gradual,5,0.9333655904047191,0,2.9830963746644557
