,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(0.Gradual),2.753486168127536,0.4012245856506447,1.959004846953654,2.4849789218544123,2.7656316570046537,3.0221772999432854,3.5065998239985663,0.005982685116866331
a(0.Sudden),1.9612721208509085,0.3263252758431941,1.3192223692593903,1.7461495614579048,1.9580709714444358,2.186257430818342,2.591778570990785,0.004506270710504932
a(1.Gradual),2.5337609330014836,0.35276581820586816,1.839298138796643,2.300624926012822,2.5389727893714547,2.772484023673594,3.218218406472855,0.007509885739840028
a(1.Sudden),2.799194980806344,0.3476099906708945,2.0827990873758315,2.5683617903954263,2.812541246423947,3.038435783636853,3.455692451352099,0.004123741751755788
a(2.Gradual),2.081955319706567,0.3340810633580882,1.4008365502241256,1.8638955179036538,2.08845996599944,2.3108365032897895,2.715660678477855,0.004160581978954116
a(2.Sudden),2.591098126978004,0.3282392551494816,1.9295369858656695,2.3761661423611726,2.592523439590686,2.812906264462158,3.227495795507724,0.00375317826822612
a(3.Gradual),2.4956895245709956,0.3277618349747249,1.8369282004623262,2.278667801745584,2.497994980356111,2.7227651380599327,3.117908759059557,0.0040166301976071045
a(3.Sudden),2.565437331523331,0.3326546259967785,1.8812467159014414,2.340641631240621,2.5822533823278246,2.7941398721201214,3.189837862233198,0.003412347556821236
a(4.Gradual),2.34718711671482,0.3362899885688211,1.680602545667743,2.1183232080352155,2.3511461508589004,2.5809206604775428,2.9937036069990155,0.004551374129412207
a(4.Sudden),2.8301904834146288,0.36453933983609127,2.093028798491111,2.589986829280088,2.8397563260200593,3.081667298709145,3.5177526573637508,0.004266067080200608
a(5.Gradual),2.471264706210499,0.3231564412704305,1.8458426635434648,2.255818633741866,2.4772254238744695,2.6876463020018893,3.0941570450595237,0.004051441679624909
a(5.Sudden),2.4660724727842154,0.3250700666183688,1.8132464473263001,2.254572382280759,2.4683801058287913,2.692093144058783,3.0884526960357803,0.003783546729116178
a(6.Gradual),2.6263171744421947,0.34141880585681544,1.9453099824628266,2.399839737686719,2.6364636630850566,2.8618197648412864,3.2723533362082584,0.004379132860258241
a(6.Sudden),2.6209302024944443,0.3490040370073148,1.9412545955605538,2.388091044855683,2.6233906980972765,2.8554558911782086,3.3080858373891027,0.008178690433728358
a(7.Gradual),2.534277764893495,0.3373983919709022,1.8599596729243788,2.3091586716840085,2.540523405034917,2.7661765250378356,3.1765939229098716,0.003684600546539198
a(7.Sudden),2.363713572249916,0.32176588289089,1.706852301928644,2.1517312624577944,2.371022994938411,2.58088064379129,2.9814263068013265,0.0034305402358505523
a(8.Gradual),2.533232267932446,0.32764767491225566,1.8686921896917377,2.319783704407963,2.537707963767596,2.755383568549992,3.150083711099718,0.003729601443618731
a(8.Sudden),2.471382823192905,0.33210395998233355,1.8012236955415957,2.2574924391683604,2.4755030186479194,2.698227814794058,3.1166291232263985,0.005037877298880432
a(9.Gradual),2.1514453554457713,0.30503472901299,1.5381074320060173,1.947906855384697,2.1547891272374304,2.364026563924675,2.7267266146401865,0.00400772859376394
a(9.Sudden),2.1512768637179573,0.3190016067544322,1.5070998009420846,1.9420523436570434,2.1539411230671877,2.3625724678355366,2.7664097676930943,0.0038796678124818325
a(10.Gradual),2.1170943006256904,0.3200022909932633,1.4691792404323527,1.9004571287999847,2.1258172720064463,2.335357853646995,2.7280447229434177,0.0034982354506499723
a(10.Sudden),1.9726358601987772,0.31489749898624364,1.343827836902825,1.7608746665483246,1.973801745476833,2.1910746439257798,2.5796215807863723,0.004091900888189342
a(11.Gradual),2.068042386979006,0.3041033598947501,1.4712127431426048,1.8671805539147173,2.0672831502288287,2.2760865254613707,2.6669643738017883,0.004262759664981713
a(11.Sudden),1.9149540260783842,0.28842833327441975,1.3377705413962162,1.7229278718860455,1.9153932905633766,2.111597711458179,2.4774529765345017,0.004043832676254385
a_std,0.9525674251215904,0.07006046012894324,0.8220722997882742,0.9045100084359532,0.9505375563671079,0.9974378940730546,1.0966210391090783,0.003370275794325639
a_subj(0.Gradual).1,2.5709186145366467,0.7448939125106564,1.3281685308807998,2.0280607566944533,2.509755704098937,3.0464308357020267,4.211434404182261,0.011200571504576467
a_subj(0.Gradual).3,2.544789184515541,0.30181062344219384,2.0326654538437197,2.331991300841514,2.5236441179547935,2.725212416647112,3.2382155029420776,0.012848355417859125
a_subj(0.Gradual).5,6.264551863316944,0.7070638497436367,4.9508453112147635,5.767753054699014,6.248197337228746,6.713995088210489,7.738212331958805,0.03149449327305528
a_subj(0.Gradual).7,3.7034088050030083,0.36804521661247686,3.030318370414099,3.4404170254059543,3.6867669520319057,3.9527108116366487,4.444622609728218,0.011150421150171373
a_subj(0.Gradual).9,1.7480848272644396,0.17572073970841673,1.439076940093278,1.62595473604556,1.7373512550866388,1.8557728174195502,2.1307885281605783,0.004488710853640488
a_subj(0.Gradual).11,4.668490743567337,0.5312217104912654,3.7230312687697986,4.300580938180821,4.630451694306057,4.998675536136571,5.831190449774123,0.01765195251488612
a_subj(0.Gradual).13,1.9810637225962215,0.10283826696628942,1.7845171101815829,1.9113126824520512,1.9783098494655653,2.0490598020553357,2.18833677299539,0.0012509953681919023
a_subj(0.Sudden).0,1.6755581348794484,0.542205140700889,0.8120494463782862,1.2722519535223453,1.6078582754260489,2.0126279100363442,2.8961873271050473,0.0074774165321981586
a_subj(0.Sudden).2,1.9490774814868164,1.001558129973677,0.4239892404954463,1.2271242360529016,1.8089541921651475,2.515812075647176,4.312682958677453,0.013231717936759466
a_subj(0.Sudden).4,1.4645968452162137,0.11762552780473683,1.2588845486508538,1.3833130960707796,1.4562317811784822,1.5362501792974235,1.7158777394875053,0.002492080774404381
a_subj(0.Sudden).6,1.2275403696713472,0.0781816893955948,1.08248759797072,1.1746009088627594,1.2245412655423733,1.2768551974663407,1.392038701582263,0.0014626064753969989
a_subj(0.Sudden).8,3.184530881943603,0.33559040580727484,2.602281773311593,2.9415905763638976,3.1633137947084853,3.4068152453943785,3.885701252894972,0.007636804754913587
a_subj(0.Sudden).10,2.0271350731367153,0.12159748456936029,1.8007797143034707,1.9439981861187723,2.0232074832662015,2.1066216418909667,2.281396867924714,0.0013843217057298255
a_subj(0.Sudden).12,1.8927507140944766,0.13379138704908516,1.6489881230668197,1.799662202046198,1.8854979456417533,1.9788800148992158,2.1766586268123786,0.0017816696901432796
a_subj(1.Gradual).1,2.1783990666187423,0.16474442228956435,1.87796298027287,2.0665653888667967,2.169363350174213,2.2805206117348873,2.537047961189237,0.003935418821200397
a_subj(1.Gradual).3,2.753041923850983,0.32577488001664856,2.202375078288673,2.5219009894995112,2.7236735994140666,2.955109366109945,3.4750742460707484,0.012113608802726205
a_subj(1.Gradual).5,5.113763302178112,1.5942426055209378,2.1433529515531884,4.8003552055643,5.666406591087915,6.197411229800032,7.152039378322131,0.15047168425048812
a_subj(1.Gradual).7,1.5767419280225061,0.13036455948299844,1.3519839955808473,1.4853219308057668,1.5678891915376272,1.6567099294422445,1.8603754040841929,0.0019642344541552486
a_subj(1.Gradual).9,1.7545832748274817,0.16797292099322636,1.45769140498321,1.635354377255262,1.7445559800048729,1.856754726393459,2.118123405998242,0.0036405623790685348
a_subj(1.Gradual).11,3.0518567187391428,0.3299823259271254,2.433781096319029,2.823949546733424,3.0414509817769346,3.2652270999804913,3.726456785738754,0.007298348692057104
a_subj(1.Gradual).13,3.791396244777947,0.4502609525082187,3.0432887751476994,3.451098345250919,3.744478919742165,4.091669765987878,4.753543487489205,0.012155937073119339
a_subj(1.Sudden).0,2.126060313942852,0.11933101444826431,1.896097992385287,2.046615220244074,2.123925593161654,2.203776221855274,2.366279843631103,0.0013734745974365388
a_subj(1.Sudden).2,3.9572804363131437,0.39313797871415695,3.226556471068021,3.6882960173560773,3.942353995184756,4.205748779750014,4.778393751472503,0.010463693813949636
a_subj(1.Sudden).4,2.3289467436026543,0.1463356472843063,2.059932119137796,2.228034576382025,2.324811459683491,2.424282554796849,2.631551798156873,0.0020117424512682055
a_subj(1.Sudden).6,4.509335439341153,0.5172532824667356,3.588676805002228,4.144260462601705,4.47310526993588,4.848917352800327,5.592365757937014,0.015362657525025886
a_subj(1.Sudden).8,2.359196519862289,0.137352719827627,2.100144270038152,2.265991650706636,2.357686942611994,2.4502326592707577,2.6375369556260604,0.0015082602300419308
a_subj(1.Sudden).10,3.104727860133079,0.1812932513242802,2.7675777590770583,2.9813779918547976,3.098025201260149,3.2246420223502312,3.473655983155025,0.001776726455569234
a_subj(1.Sudden).12,2.290436331647206,0.1396262694570991,2.0259123650076476,2.1945303163235663,2.285778684431582,2.380626034240617,2.5762988667078965,0.0015023430420375056
a_subj(2.Gradual).1,2.1426110350597334,0.12407296510383846,1.9071555980254615,2.056376325957142,2.1374110648580604,2.2234248901069575,2.3963209060783024,0.001847619903519512
a_subj(2.Gradual).3,1.549223321391435,0.09594885090540091,1.3682084429018935,1.4831295364689552,1.5457772326412504,1.611175334470877,1.7468771239639809,0.002403273813896178
a_subj(2.Gradual).5,1.9091906513184569,0.113224181376724,1.6961050997975593,1.8323601717058584,1.906088414084956,1.9837334627647119,2.1408006581904724,0.00138677137196405
a_subj(2.Gradual).7,1.455703850394225,0.08848063840002883,1.2906955096598227,1.3941082453884905,1.4529019738534177,1.5133695493569452,1.638071032986205,0.0011136437103196428
a_subj(2.Gradual).9,1.2816413802473448,0.07606549426318145,1.1382925590492197,1.2287259137101758,1.2803507650736363,1.3334559134733686,1.433566997903283,0.0010890422475428635
a_subj(2.Gradual).11,6.204353559132009,0.6987744232364707,4.911053556595415,5.722629083551906,6.17201009063991,6.660831615474983,7.655022920792364,0.03027085063543018
